id;created_at;customer_id;status
0;28/08/2019 03:36;91;entregue
1;16/08/2019 20:21;7;entregue
2;11/07/2019 11:00;26;pagamento_pendente
3;27/08/2019 21:04;92;pagamento_pendente
4;03/11/2019 19:58;63;entrega_pendente
5;04/04/2019 07:31;3;entrega_pendente
6;26/05/2019 07:22;42;entrega_pendente
7;07/02/2020 21:48;51;pagamento_pendente
8;09/01/2020 11:26;35;carrinho
9;27/04/2019 17:34;5;pagamento_pendente
10;28/06/2019 12:14;47;entrega_pendente
11;25/03/2019 19:22;4;carrinho
12;26/01/2020 11:08;72;entregue
13;29/11/2019 05:59;8;carrinho
14;02/08/2019 21:03;38;pagamento_pendente
15;13/05/2019 06:29;8;carrinho
16;12/02/2019 13:59;98;carrinho
17;03/06/2019 09:11;63;carrinho
18;04/09/2019 21:54;97;entregue
19;06/05/2019 03:08;3;carrinho
20;15/04/2019 13:52;23;entregue
21;24/02/2020 06:04;56;carrinho
22;01/07/2019 04:41;6;entregue
23;10/01/2019 12:20;10;entregue
24;18/01/2019 09:03;52;pagamento_pendente
25;01/12/2019 09:51;99;entrega_pendente
26;24/04/2019 07:55;38;entregue
27;14/10/2019 11:35;26;entrega_pendente
28;20/11/2019 16:27;58;carrinho
29;12/11/2019 01:40;37;entrega_pendente
30;15/09/2019 11:18;30;entregue
31;04/11/2019 20:56;60;entregue
32;20/08/2019 15:09;31;entregue
33;20/04/2019 05:46;78;pagamento_pendente
34;19/02/2019 12:25;63;entrega_pendente
35;22/07/2019 04:03;98;entrega_pendente
36;13/11/2019 00:14;5;entregue
37;29/06/2019 06:35;7;cancelado
38;06/03/2019 01:56;82;pagamento_pendente
39;01/03/2019 09:15;61;entregue
40;20/03/2019 11:00;11;entregue
41;17/06/2019 02:23;12;entrega_pendente
42;13/01/2020 08:48;60;entregue
43;19/02/2019 02:49;60;entregue
44;04/08/2019 22:14;61;entregue
45;30/06/2019 09:50;77;entregue
46;22/10/2019 13:31;24;carrinho
47;03/12/2019 19:38;87;pagamento_pendente
48;05/07/2019 15:59;95;entregue
49;24/03/2019 08:38;47;cancelado
50;12/01/2020 20:39;8;carrinho
51;20/01/2020 13:56;81;cancelado
52;01/09/2019 15:32;44;carrinho
53;31/01/2020 01:02;69;entrega_pendente
54;16/01/2019 16:22;55;cancelado
55;06/04/2019 15:31;44;entrega_pendente
56;18/06/2019 14:25;92;pagamento_pendente
57;11/02/2019 01:17;58;entregue
58;25/09/2019 18:02;98;entrega_pendente
59;10/05/2019 11:14;85;entrega_pendente
60;23/08/2019 23:45;42;entrega_pendente
61;15/04/2019 06:32;86;pagamento_pendente
62;19/08/2019 19:07;23;entrega_pendente
63;23/04/2019 18:54;99;pagamento_pendente
64;04/08/2019 16:18;76;entregue
65;01/02/2020 16:40;26;entrega_pendente
66;23/12/2019 07:56;39;pagamento_pendente
67;22/09/2019 02:09;29;entregue
68;14/12/2019 12:51;46;cancelado
69;06/12/2019 14:02;8;entrega_pendente
70;19/05/2019 17:03;85;entrega_pendente
71;01/06/2019 12:09;17;entrega_pendente
72;18/02/2019 07:38;50;pagamento_pendente
73;02/05/2019 16:04;55;entrega_pendente
74;27/05/2019 10:54;3;pagamento_pendente
75;20/03/2019 22:03;43;pagamento_pendente
76;13/12/2019 20:43;56;entrega_pendente
77;22/02/2019 15:56;10;cancelado
78;03/01/2020 17:21;65;carrinho
79;18/09/2019 16:38;91;cancelado
80;06/10/2019 00:03;18;entregue
81;15/10/2019 01:14;27;carrinho
82;19/02/2019 01:45;4;carrinho
83;26/01/2020 19:23;9;entrega_pendente
84;16/02/2020 04:44;94;cancelado
85;28/12/2019 08:13;50;pagamento_pendente
86;11/05/2019 04:02;69;pagamento_pendente
87;04/06/2019 18:43;17;pagamento_pendente
88;18/02/2019 02:04;59;pagamento_pendente
89;14/09/2019 17:42;1;cancelado
90;29/08/2019 07:39;47;entregue
91;12/11/2019 11:26;61;pagamento_pendente
92;29/10/2019 19:44;71;pagamento_pendente
